"Model","Metric","shapiro_p_value"
"CatBoost","Accuracy",0.0417834066695264
"CatBoost","F1_Score",0.0704117790229639
"CatBoost","Precision",0.0081109521350488
"CatBoost","Recall",0.00518045233751933
"ECAEfficientNet","Accuracy",0.731230759492192
"ECAEfficientNet","F1_Score",0.733409037744099
"ECAEfficientNet","Precision",0.481841885094755
"ECAEfficientNet","Recall",0.477641700061737
"GPT2","Accuracy",0.155615031178301
"GPT2","F1_Score",0.113948291803434
"GPT2","Precision",0.735659310253939
"GPT2","Recall",0.626260678842015
"KNN","Accuracy",0.0565193706887443
"KNN","F1_Score",0.0479288348059899
"KNN","Precision",0.000455676912996534
"KNN","Recall",0.0884726286463075
"LightGBM","Accuracy",0.00444037592647218
"LightGBM","F1_Score",0.0386498698325046
"LightGBM","Precision",0.000268653851921362
"LightGBM","Recall",0.00293578633483274
"LogisticRegression","Accuracy",0.000285908861046205
"LogisticRegression","F1_Score",0.255593401764179
"LogisticRegression","Precision",0.000462812051594858
"LogisticRegression","Recall",1.0662140305744e-05
"RandomForest","Accuracy",0.154512244281412
"RandomForest","F1_Score",0.0168698363439112
"RandomForest","Precision",0.00254839800460968
"RandomForest","Recall",0.00578571626631572
"SCSGuard","Accuracy",0.552573508927723
"SCSGuard","F1_Score",0.502831554587264
"SCSGuard","Precision",0.244799092614627
"SCSGuard","Recall",0.44891186872847
"SVM","Accuracy",0.0333033893591046
"SVM","F1_Score",0.0570796572055649
"SVM","Precision",0.00194579443658384
"SVM","Recall",0.0200252068287889
"T5","Accuracy",0.25738416075176
"T5","F1_Score",0.296656255831324
"T5","Precision",0.171335656362149
"T5","Recall",0.702209979288342
"ViT_lookup","Accuracy",0.498307757192584
"ViT_lookup","F1_Score",0.329583680428824
"ViT_lookup","Precision",0.318850085890438
"ViT_lookup","Recall",0.646115820311129
"ViT_r2d2","Accuracy",0.787811108566418
"ViT_r2d2","F1_Score",0.826291629207638
"ViT_r2d2","Precision",0.459222811614336
"ViT_r2d2","Recall",0.285716991905051
"XGBoost","Accuracy",0.15167056876297
"XGBoost","F1_Score",0.146819768025935
"XGBoost","Precision",0.000736546987410252
"XGBoost","Recall",0.015812720376686
