Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
3,GPT2,1,0.8957142857142857,0.8774647887323944,0.9134897360703812,0.8951149425287356
3,GPT2,2,0.8871428571428571,0.8819241982507289,0.8870967741935484,0.8845029239766082
3,GPT2,3,0.8907142857142857,0.8895434462444771,0.8856304985337243,0.887582659808964
3,GPT2,4,0.8892857142857142,0.883551673944687,0.8900293255131965,0.8867786705624543
3,GPT2,5,0.8935714285714286,0.8936484490398818,0.8870967741935484,0.8903605592347315
3,GPT2,6,0.8807142857142857,0.8601398601398601,0.9017595307917888,0.8804581245526127
3,GPT2,7,0.8921428571428571,0.9016641452344932,0.873900293255132,0.8875651526433358
3,GPT2,8,0.8771428571428571,0.8717201166180758,0.8768328445747801,0.8742690058479532
3,GPT2,9,0.8871428571428571,0.8669467787114846,0.907624633431085,0.8868194842406877
3,GPT2,10,0.875,0.8535564853556485,0.8973607038123167,0.8749106504646176
