Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
1,GPT2,1,0.9014285714285715,0.8809523809523809,0.9222873900293255,0.9011461318051576
1,GPT2,2,0.9014285714285715,0.9,0.8973607038123167,0.8986784140969163
1,GPT2,3,0.8871428571428571,0.9253246753246753,0.8357771260997068,0.8782742681047766
1,GPT2,4,0.9135714285714286,0.9403453689167975,0.8782991202346041,0.9082638362395754
1,GPT2,5,0.9057142857142857,0.902046783625731,0.9046920821114369,0.9033674963396779
1,GPT2,6,0.8864285714285715,0.9054263565891473,0.8563049853372434,0.880180859080633
1,GPT2,7,0.8964285714285715,0.9228346456692913,0.8592375366568915,0.8899012908124525
1,GPT2,8,0.8935714285714286,0.8716875871687587,0.9164222873900293,0.8934953538241601
1,GPT2,9,0.9035714285714286,0.9162861491628614,0.8826979472140762,0.8991784914115011
1,GPT2,10,0.8921428571428571,0.8992481203007519,0.8768328445747801,0.8878990348923533
