Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
3,CatBoost,1,0.9314285714285714,0.9255952380952381,0.9311377245508982,0.9283582089552239
3,CatBoost,2,0.9257142857142857,0.9404761904761905,0.9080459770114943,0.9239766081871345
3,CatBoost,3,0.9328571428571428,0.9270516717325228,0.9298780487804879,0.928462709284627
3,CatBoost,4,0.9214285714285714,0.937888198757764,0.8961424332344213,0.9165402124430956
3,CatBoost,5,0.9314285714285714,0.9446064139941691,0.9178470254957507,0.9310344827586207
3,CatBoost,6,0.9314285714285714,0.9393939393939394,0.9291553133514986,0.9342465753424658
3,CatBoost,7,0.9385714285714286,0.9419889502762431,0.9393939393939394,0.9406896551724138
3,CatBoost,8,0.9357142857142857,0.9319526627218935,0.9347181008902077,0.9333333333333333
3,CatBoost,9,0.9342857142857143,0.9376854599406528,0.9266862170087976,0.9321533923303835
3,CatBoost,10,0.9271428571428572,0.9358600583090378,0.9171428571428571,0.9264069264069265
