Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
2,SVM,1,0.9228571428571428,0.9347826086956522,0.9011976047904192,0.9176829268292683
2,SVM,2,0.9271428571428572,0.9406528189910979,0.9109195402298851,0.9255474452554745
2,SVM,3,0.9257142857142857,0.9394904458598726,0.899390243902439,0.9190031152647975
2,SVM,4,0.9157142857142857,0.9371069182389937,0.884272997032641,0.9099236641221374
2,SVM,5,0.9171428571428571,0.9402985074626866,0.8923512747875354,0.9156976744186046
2,SVM,6,0.9242857142857143,0.9485714285714286,0.9046321525885559,0.9260808926080892
2,SVM,7,0.9385714285714286,0.9651162790697675,0.9146005509641874,0.9391796322489392
2,SVM,8,0.9285714285714286,0.9555555555555556,0.8931750741839762,0.9233128834355828
2,SVM,9,0.93,0.9451219512195121,0.9090909090909091,0.9267563527653214
2,SVM,10,0.93,0.9465875370919882,0.9114285714285715,0.9286754002911208
