Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
3,T5,1,0.845,0.8251748251748252,0.8651026392961877,0.8446671438797423
3,T5,2,0.8671428571428571,0.8463687150837989,0.8885630498533724,0.8669527896995708
3,T5,3,0.8142857142857143,0.7761780104712042,0.8695014662756598,0.8201936376210235
3,T5,4,0.8514285714285714,0.8255494505494505,0.8812316715542522,0.8524822695035461
3,T5,5,0.8671428571428571,0.8444444444444444,0.8914956011730205,0.8673323823109843
3,T5,6,0.7885714285714286,0.7506493506493507,0.8475073313782991,0.7961432506887053
3,T5,7,0.8457142857142858,0.8347701149425287,0.8519061583577713,0.8432510885341074
3,T5,8,0.8657142857142858,0.8440111420612814,0.8885630498533724,0.8657142857142858
3,T5,9,0.8728571428571429,0.8610315186246418,0.8812316715542522,0.8710144927536232
3,T5,10,0.8728571428571429,0.8559322033898306,0.8885630498533724,0.8719424460431655
