Run,Model,Fold,Accuracy,Precision,Recall,F1 Score
1,LightGBM,1,0.9242857142857143,0.9096209912536443,0.9341317365269461,0.9217134416543574
1,LightGBM,2,0.9214285714285714,0.9373134328358209,0.9022988505747126,0.9194729136163983
1,LightGBM,3,0.9457142857142857,0.9475308641975309,0.9359756097560976,0.941717791411043
1,LightGBM,4,0.93,0.9444444444444444,0.9080118694362018,0.9258698940998488
1,LightGBM,5,0.9328571428571428,0.9421965317919075,0.9235127478753541,0.932761087267525
1,LightGBM,6,0.93,0.9344262295081968,0.9318801089918256,0.9331514324693042
1,LightGBM,7,0.9457142857142857,0.9526462395543176,0.9421487603305785,0.9473684210526315
1,LightGBM,8,0.9342857142857143,0.9369369369369369,0.9258160237388724,0.9313432835820895
1,LightGBM,9,0.9314285714285714,0.9321533923303835,0.9266862170087976,0.9294117647058824
1,LightGBM,10,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
