"Model","Metric","shapiro_p_value"
"CatBoost","Accuracy",0.0417834066695264
"CatBoost","Precision",0.0081109521350488
"CatBoost","Recall",0.00518045233751933
"KNN","F1_Score",0.0479288348059899
"KNN","Precision",0.000455676912996534
"LightGBM","Accuracy",0.00444037592647218
"LightGBM","F1_Score",0.0386498698325046
"LightGBM","Precision",0.000268653851921362
"LightGBM","Recall",0.00293578633483274
"LogisticRegression","Accuracy",0.000285908861046205
"LogisticRegression","Precision",0.000462812051594858
"LogisticRegression","Recall",1.0662140305744e-05
"RandomForest","F1_Score",0.0168698363439112
"RandomForest","Precision",0.00254839800460968
"RandomForest","Recall",0.00578571626631572
"SVM","Accuracy",0.0333033893591046
"SVM","Precision",0.00194579443658384
"SVM","Recall",0.0200252068287889
"XGBoost","Precision",0.000736546987410252
"XGBoost","Recall",0.015812720376686
